width,heigth,threads,total_time
100,100,32,0.140000
100,100,64,0.124000
100,100,128,0.122000
100,100,256,0.122000
100,100,512,0.125000
100,100,1024,0.129000
500,500,32,0.905000
500,500,64,0.619000
500,500,128,0.620000
500,500,256,0.649000
500,500,512,0.719000
500,500,1024,0.845000
1000,1000,32,2.997000
1000,1000,64,1.903000
1000,1000,128,1.907000
1000,1000,256,1.995000
1000,1000,512,2.310000
1000,1000,1024,2.874000
5000,5000,32,70.224000
5000,5000,64,42.489000
5000,5000,128,42.422000
5000,5000,256,44.796000
5000,5000,512,53.392000
5000,5000,1024,66.695000